Date,portfolio_return,portfolio_pnl,SPY_contrib,QQQ_contrib,TLT_contrib,GLD_contrib,HYG_contrib,cumulative_pnl
2020-01-01,0.0054718011214580356,5471.801121458036,2086.199442647177,1409.7604596895046,476.2134966072116,1362.7897241131739,136.83799840096873,5471.801121458036
2020-01-02,0.0014512201219925027,1451.2201219925028,-983.3752191865583,1412.3077308476138,1294.2473159869014,-278.84685491322176,6.887149257767475,6923.021243450538
2020-01-03,-0.006253312016389685,-6253.312016389686,-1946.3543098123414,-2131.0531132525257,536.4685842384564,-1390.1562966990316,-1322.2168808642425,669.7092270608528
2020-01-06,-0.006756952268465909,-6756.95226846591,-2361.607622812085,-3199.880730797161,622.2552369639077,-593.0983214058108,-1224.62083041476,-6087.243041405057
2020-01-07,0.009505890276551672,9505.890276551672,6155.724829470527,4409.688465892435,-866.7529803658736,-897.3420819518029,704.5720435063861,3418.6472351466155
2020-01-08,-0.0009259924224826938,-925.9924224826939,465.87487678143754,-1221.6635598011692,257.8172269742085,-273.7101759728326,-154.310790464338,2492.654812663922
2020-01-09,-0.002286567937206183,-2286.567937206183,-2527.1677713634667,603.3011003133281,587.2465556489504,-969.8114572090507,19.863635404055834,206.08687545773864
2020-01-10,-0.012488546308762744,-12488.546308762745,-5127.543329878293,-3644.6153820879103,-1643.971085011994,-1621.9898533970959,-450.42665838744966,-12282.459433305006
2020-01-13,0.004667923080014854,4667.923080014854,3101.5596359807237,2612.930701912623,-588.3248516732297,-194.90866385725727,-263.33374234800556,-7614.536353290152
2020-01-14,-0.005400770989479106,-5400.770989479106,-3023.3456752577763,-2949.7631200037413,1712.9609121287829,484.4410623940007,-1625.0641687403722,-13015.307342769258
2020-01-15,0.0020249540201135994,2024.9540201135994,1361.152671458139,515.3275276871392,-1093.2547573447237,342.9592457076525,898.7693326053924,-10990.35332265566
2020-01-16,0.006227020931786052,6227.020931786052,3911.3765002880336,1847.5553430994157,-1073.3939059757674,311.9246156237665,1229.5583787506034,-4763.3323908696075
2020-01-17,-0.005855125656051006,-5855.125656051006,-2012.5317989502178,-1797.612110898273,-1097.3113877874089,-1211.651008557547,263.98065014244037,-10618.458046920614
2020-01-20,0.011456011081423875,11456.011081423874,5696.2081199974555,4268.315581652996,385.54566236053125,659.6086676602081,446.33304975268254,837.5530345032603
2020-01-21,0.004685504525565631,4685.504525565631,1517.8615431353383,3273.4405341440483,-85.4580411249046,1104.2944396801,-1124.6339502689507,5523.057560068892
2020-01-22,0.004960387320548977,4960.387320548977,3451.9905183759397,2765.92976852992,-879.2892070832,66.8042457239336,-445.04800499761495,10483.44488061787
2020-01-23,-1.1870067744514947e-05,-11.870067744514946,-922.6219289175501,-217.4870735120981,2020.749024600313,-58.719281285296525,-833.7908086298835,10471.574812873354
2020-01-24,-0.0021807974777688283,-2180.7974777688282,-2107.3795830550534,-359.98754555559896,836.3598502862542,-419.431003806599,-130.35919563783114,8290.777335104525
2020-01-27,0.0007290123004800771,729.0123004800771,407.7257072617696,1641.2938513775175,-817.0965925430193,-474.0580840176731,-28.85258159851777,9019.789635584602
2020-01-28,-0.01045372835618692,-10453.728356186919,-6146.762782154898,-4306.325727457538,1282.8174175530266,-89.0722290329754,-1194.3850350945365,-1433.9387206023166
2020-01-29,-0.012501281420882918,-12501.281420882919,-5944.557116611739,-5134.498975341874,414.14574023181433,-798.3914650251353,-1037.9796041359837,-13935.220141485235
